Ano Declarado = 2019
Coluna;;Admitidos/Desligados
Município;Grau Instrução;Admitidos;Desligados;Total
;Fundamental Completo;577;575;1152
;Médio Incompleto;459;497;956
;Médio Completo;6533;6209;12742
;Superior Incompleto;368;301;669
;Superior Completo;1175;1021;2196
Sp-Santa Branca;Total;441;490;931
;Analfabeto;1;1;2
;Até 5ª Incompleto;8;11;19
;5ª Completo Fundamental;11;16;27
;6ª a 9ª Fundamental;16;25;41
;Fundamental Completo;28;45;73
;Médio Incompleto;29;27;56
;Médio Completo;298;309;607
;Superior Incompleto;15;10;25
;Superior Completo;35;46;81
Sp-Santo Antonio do Pinhal;Total;278;253;531
;Até 5ª Incompleto;1;1;2
;5ª Completo Fundamental;3;2;5
;6ª a 9ª Fundamental;4;4;8
;Fundamental Completo;14;14;28
;Médio Incompleto;27;24;51
;Médio Completo;208;193;401
;Superior Incompleto;7;4;11
;Superior Completo;14;11;25
Sp-Sao Jose dos Campos;Total;64501;64196;128697
;Analfabeto;95;84;179
;Até 5ª Incompleto;635;566;1201
;5ª Completo Fundamental;372;428;800
;6ª a 9ª Fundamental;1165;1225;2390
;Fundamental Completo;3246;3678;6924
;Médio Incompleto;3564;3714;7278
;Médio Completo;43040;42530;85570
;Superior Incompleto;3068;2985;6053
;Superior Completo;9316;8986;18302
Sp-Sao Luis do Paraitinga;Total;496;699;1195
;Analfabeto;6;4;10
;Até 5ª Incompleto;28;31;59
;5ª Completo Fundamental;15;34;49
;6ª a 9ª Fundamental;15;20;35
;Fundamental Completo;32;44;76
;Médio Incompleto;33;45;78
;Médio Completo;284;381;665
;Superior Incompleto;21;53;74
;Superior Completo;62;87;149
Sp-Taubate;Total;26550;26579;53129
;Analfabeto;25;17;42
;Até 5ª Incompleto;245;292;537
;5ª Completo Fundamental;249;279;528
;6ª a 9ª Fundamental;739;817;1556
;Fundamental Completo;2161;2658;4819
;Médio Incompleto;1630;1650;3280
;Médio Completo;16863;16386;33249
;Superior Incompleto;1317;1006;2323
;Superior Completo;3321;3474;6795
Total;Total;149813;146977;296790
;Analfabeto;192;160;352
;Até 5ª Incompleto;1662;1680;3342
;5ª Completo Fundamental;1164;1402;2566
;6ª a 9ª Fundamental;3618;3831;7449
;Fundamental Completo;9356;10797;20153
;Médio Incompleto;8858;8990;17848
;Médio Completo;99151;95649;194800
;Superior Incompleto;6253;5708;11961
;Superior Completo;19559;18760;38319
Ano Declarado = Total
Coluna;;Admitidos/Desligados
Município;Grau Instrução;Admitidos;Desligados;Total
Sp-Aparecida;Total;7517;7452;14969
;Analfabeto;15;9;24
;Até 5ª Incompleto;128;124;252
;5ª Completo Fundamental;89;86;175
;6ª a 9ª Fundamental;282;253;535
;Fundamental Completo;1171;1091;2262
;Médio Incompleto;652;592;1244
;Médio Completo;4326;4414;8740
;Superior Incompleto;174;168;342
;Superior Completo;680;715;1395
Sp-Bananal;Total;758;772;1530
;Analfabeto;1;4;5
;Até 5ª Incompleto;38;40;78
;5ª Completo Fundamental;34;63;97
;6ª a 9ª Fundamental;60;52;112
;Fundamental Completo;179;155;334
;Médio Incompleto;41;39;80
;Médio Completo;379;385;764
;Superior Incompleto;5;9;14
;Superior Completo;21;25;46
Sp-Cachoeira Paulista;Total;2420;2633;5053
;Analfabeto;1;4;5
;Até 5ª Incompleto;78;94;172
;5ª Completo Fundamental;41;51;92
;6ª a 9ª Fundamental;102;117;219
;Fundamental Completo;137;187;324
;Médio Incompleto;128;156;284
;Médio Completo;1517;1534;3051
;Superior Incompleto;62;70;132
;Superior Completo;354;420;774
Sp-Caraguatatuba;Total;18333;17365;35698
;Analfabeto;25;21;46
